boro_cd,total_complaints,cell_count,top_1pct_share,top_10_share,hotspot_count,gini_coefficient,max_cell_count,max_cell_share,n_repeat_location_dominant,n_suspected_artifact,cd_label,cd_short
101,2962,47,0.0,0.5054017555705604,42,0.4591923226112318,306,0.10330857528696827,0,0,Manhattan Community District 1,MN 1
102,5908,54,0.06398104265402843,0.37745429925524715,53,0.3354459740715665,378,0.06398104265402843,0,0,Manhattan Community District 2,MN 2
103,10072,68,0.13026211278792693,0.3334988085782367,67,0.3777069803298603,504,0.05003971405877681,0,0,Manhattan Community District 3,MN 3
104,8682,67,0.19937802349689013,0.3891960377793135,63,0.4557310200896003,511,0.05885740612762037,0,0,Manhattan Community District 4,MN 4
105,4517,65,0.0,0.33783484613681647,62,0.3853136016076022,214,0.047376577374363515,0,0,Manhattan Community District 5,MN 5
106,5962,55,0.24354243542435425,0.45186179134518617,54,0.44028544417675586,552,0.09258638040925864,0,0,Manhattan Community District 6,MN 6
107,12695,72,0.4107128790862544,0.49381646317447814,70,0.5278817119600894,1453,0.1144545096494683,0,0,Manhattan Community District 7,MN 7
108,7330,76,0.18731241473396998,0.38472032742155526,73,0.45507647016586494,535,0.07298772169167804,0,0,Manhattan Community District 8,MN 8
109,8796,58,0.4257617098681219,0.6242610277398818,54,0.6441681955747911,1524,0.17326057298772168,0,0,Manhattan Community District 9,MN 9
110,11998,59,0.42882147024504086,0.5354225704284047,59,0.5142269474290913,1721,0.14344057342890482,0,0,Manhattan Community District 10,MN 10
111,7897,69,0.22021020640749653,0.41674053438014436,66,0.45312015386507065,840,0.10636950740787642,1,0,Manhattan Community District 11,MN 11
112,16052,93,0.3722900573137304,0.32618988288063794,86,0.48000852069483857,919,0.057251432843259405,0,0,Manhattan Community District 12,MN 12
201,5866,80,0.16825775656324582,0.44561882032049094,71,0.52718206614388,987,0.16825775656324582,1,0,Bronx Community District 1,BX 1
202,2431,53,0.0,0.5100781571369807,38,0.5203697523342363,209,0.08597285067873303,0,0,Bronx Community District 2,BX 2
203,7877,65,0.37984004062460325,0.6091151453599086,60,0.6342711496958038,2211,0.2806906182556811,2,0,Bronx Community District 3,BX 3
204,10049,76,0.11215046273261021,0.33784456164792515,72,0.4214179467975343,766,0.07622649019802966,0,0,Bronx Community District 4,BX 4
205,10478,55,0.3080740599351021,0.43796526054590573,55,0.4294053341199744,728,0.06947890818858561,0,0,Bronx Community District 5,BX 5
206,5585,57,0.0,0.40465532676812893,53,0.41464448946897225,337,0.0603401969561325,0,0,Bronx Community District 6,BX 6
207,9006,78,0.14823451032644902,0.3748612036420164,73,0.4542327906751624,777,0.08627581612258495,1,0,Bronx Community District 7,BX 7
208,4603,91,0.09863132739517706,0.40147729741472954,70,0.5617884179691697,454,0.09863132739517706,1,0,Bronx Community District 8,BX 8
209,6974,151,0.06753656438199025,0.3097218239174075,128,0.5254711444779758,471,0.06753656438199025,1,0,Bronx Community District 9,BX 9
210,2765,169,0.0,0.2708860759493671,87,0.5171319430326247,151,0.05461121157323689,3,0,Bronx Community District 10,BX 10
211,3536,127,0.0,0.3059954751131222,80,0.5461707699433498,200,0.05656108597285068,0,0,Bronx Community District 11,BX 11
212,5480,192,0.0,0.258029197080292,142,0.505322384428224,305,0.055656934306569344,1,0,Bronx Community District 12,BX 12
301,9753,162,0.05136880959704706,0.21049933353839845,137,0.45997939222246265,501,0.05136880959704706,1,0,Brooklyn Community District 1,BK 1
302,8801,106,0.23713214407453698,0.45335757300306784,97,0.5681697834508512,2087,0.23713214407453698,1,0,Brooklyn Community District 2,BK 2
303,8449,118,0.0,0.2376612616877737,114,0.36228437424146076,294,0.0347970173985087,0,0,Brooklyn Community District 3,BK 3
304,7344,77,0.0,0.2738289760348584,76,0.32141442435560097,262,0.03567538126361656,0,0,Brooklyn Community District 4,BK 4
305,6950,198,0.0,0.21784172661870504,161,0.46610566092580497,224,0.03223021582733813,4,0,Brooklyn Community District 5,BK 5
306,6444,114,0.12895716945996274,0.4138733705772812,96,0.5657268559356181,831,0.12895716945996274,0,0,Brooklyn Community District 6,BK 6
307,3426,103,0.0,0.30005837711617045,82,0.4581300052709436,219,0.063922942206655,1,0,Brooklyn Community District 7,BK 7
308,7327,68,0.26654838269414494,0.44492971202402076,67,0.4550514214147512,1064,0.14521632318820799,1,0,Brooklyn Community District 8,BK 8
309,4787,68,0.07499477752245666,0.38980572383538753,65,0.4319142530628295,359,0.07499477752245666,0,0,Brooklyn Community District 9,BK 9
310,3133,129,0.0,0.3096074050430897,86,0.5022553116734338,206,0.06575167571018194,0,0,Brooklyn Community District 10,BK 10
311,3670,145,0.0,0.2961852861035422,110,0.47707977074133234,174,0.04741144414168937,1,0,Brooklyn Community District 11,BK 11
312,3624,123,0.12555187637969095,0.43543046357615894,73,0.6086972127999426,455,0.12555187637969095,2,0,Brooklyn Community District 12,BK 12
313,2629,99,0.0,0.3906428299733739,61,0.5614148330009874,258,0.09813617344998098,0,0,Brooklyn Community District 13,BK 13
314,5580,115,0.0,0.3872759856630824,92,0.5664890135577374,293,0.052508960573476704,0,0,Brooklyn Community District 14,BK 14
315,3329,162,0.17963352358065485,0.3697807149294082,92,0.5616838927642973,598,0.17963352358065485,0,0,Brooklyn Community District 15,BK 15
316,3481,76,0.0,0.34415397874174086,71,0.3892824203571268,251,0.0721057167480609,1,0,Brooklyn Community District 16,BK 16
317,5410,131,0.0,0.2951940850277264,107,0.5013080103286254,259,0.04787430683918669,0,0,Brooklyn Community District 17,BK 17
318,3183,240,0.0,0.2670436694941879,111,0.5158354277934862,172,0.05403707194470625,0,0,Brooklyn Community District 18,BK 18
401,9415,195,0.09283058948486458,0.2705257567711099,166,0.5302830997998285,466,0.04949548592671269,0,0,Queens Community District 1,QN 1
402,5986,138,0.15953892415636486,0.3802205145339125,106,0.601952865865764,557,0.09305045105245573,0,0,Queens Community District 2,QN 2
403,6247,119,0.0,0.3081479109972787,101,0.502393754043958,256,0.040979670241716025,0,0,Queens Community District 3,QN 3
404,5085,96,0.15004916420845624,0.3708947885939036,83,0.4859738610291706,763,0.15004916420845624,0,0,Queens Community District 4,QN 4
405,4799,228,0.0,0.21358616378412168,132,0.5204931217395439,159,0.03313190247968327,0,0,Queens Community District 5,QN 5
406,4021,109,0.1755782143745337,0.48445660283511566,74,0.6218271505787278,706,0.1755782143745337,2,0,Queens Community District 6,QN 6
407,7477,361,0.06138825732245553,0.26494583389059784,179,0.6208579810958592,459,0.06138825732245553,5,0,Queens Community District 7,QN 7
408,6832,206,0.5960187353629977,0.7318501170960188,75,0.8237235965530569,4072,0.5960187353629977,2,0,Queens Community District 8,QN 8
409,4177,158,0.0,0.1850610485994733,128,0.392758111781516,111,0.026574096241321524,0,0,Queens Community District 9,QN 9
410,7414,192,0.45967089290531427,0.5780954950094416,117,0.7303215762970956,2760,0.3722686808740221,1,0,Queens Community District 10,QN 10
411,1511,196,0.0,0.2686962276637988,41,0.47060670727589526,100,0.06618133686300463,2,0,Queens Community District 11,QN 11
412,8372,366,0.1441710463449594,0.2795031055900621,240,0.5510868912508258,1207,0.1441710463449594,1,0,Queens Community District 12,QN 12
413,2653,334,0.0,0.16471918582736525,89,0.4376302051005414,88,0.033169996230682244,2,0,Queens Community District 13,QN 13
414,2720,141,0.0,0.3375,67,0.5733156028368795,208,0.07647058823529412,1,0,Queens Community District 14,QN 14
501,4096,318,0.0,0.28564453125,113,0.5731270268278301,351,0.085693359375,1,0,Staten Island Community District 1,SI 1
502,1493,222,0.0,0.2632283991962492,32,0.47969503327842244,65,0.043536503683858,1,0,Staten Island Community District 2,SI 2
503,1419,230,0.0,0.321353065539112,25,0.48434292367558296,127,0.08949964763918253,1,0,Staten Island Community District 3,SI 3
