cell_id,boro_cd,count,row,col,cd_label,cd_short,centroid_x,centroid_y
33209,212,31207,175,134,Bronx Community District 12,BX 12,1023465.3212086005,264038.4693195
33208,212,4717,175,133,Bronx Community District 12,BX 12,1022645.3212086005,264038.4693195
19051,408,4072,100,151,Queens Community District 8,QN 8,1037405.3212086005,202538.46931950003
14502,410,2760,76,138,Queens Community District 10,QN 10,1026745.3212086005,182858.46931950003
28658,203,2211,151,119,Bronx Community District 3,BX 3,1011165.3212086005,244358.46931950003
17102,302,2087,90,92,Brooklyn Community District 2,BK 2,989025.3212086005,194338.46931950003
26564,110,1721,140,104,Manhattan Community District 10,MN 10,998865.3212086005,235338.46931950003
28076,109,1524,148,104,Manhattan Community District 9,MN 9,998865.3212086005,241898.46931950003
25423,107,1453,134,97,Manhattan Community District 7,MN 7,993125.3212086005,230418.46931950003
24143,407,1368,127,140,Queens Community District 7,QN 7,1028385.3212086005,224678.46931950003
27133,110,1297,143,106,Manhattan Community District 10,MN 10,1000505.3212086005,237798.46931950003
24855,107,1257,131,96,Manhattan Community District 7,MN 7,992305.3212086005,227958.46931950003
16788,412,1207,88,156,Queens Community District 12,QN 12,1041505.3212086005,192698.46931950003
27507,109,1204,145,102,Manhattan Community District 9,MN 9,997225.3212086005,239438.46931950003
14840,308,1064,78,98,Brooklyn Community District 8,BK 8,993945.3212086005,184498.46931950003
26762,201,987,141,113,Bronx Community District 1,BX 1,1006245.3212086005,236158.46931950003
23718,107,966,125,93,Manhattan Community District 7,MN 7,989845.3212086005,223038.46931950003
29024,112,919,153,107,Manhattan Community District 12,MN 12,1001325.3212086005,245998.46931950003
25998,111,840,137,105,Manhattan Community District 11,MN 11,999685.3212086005,232878.46931950003
15963,306,831,84,87,Brooklyn Community District 6,BK 6,984925.3212086005,189418.46931950003
28468,203,781,150,118,Bronx Community District 3,BX 3,1010345.3212086005,243538.46931950003
24723,407,778,130,153,Queens Community District 7,QN 7,1039045.3212086005,227138.46931950003
30737,207,777,162,119,Bronx Community District 7,BX 7,1011165.3212086005,253378.46931950003
28082,204,766,148,110,Bronx Community District 4,BX 4,1003785.3212086005,241898.46931950003
20730,404,763,109,129,Queens Community District 4,QN 4,1019365.3212086005,209918.46931950003
23719,107,753,125,94,Manhattan Community District 7,MN 7,990665.3212086005,223038.46931950003
29981,205,728,158,119,Bronx Community District 5,BX 5,1011165.3212086005,250098.46931950003
19791,406,706,104,135,Queens Community District 6,QN 6,1024285.3212086005,205818.46931950003
14503,410,648,76,139,Queens Community District 10,QN 10,1027565.3212086005,182858.46931950003
18675,408,638,98,153,Queens Community District 8,QN 8,1039045.3212086005,200898.46931950003
30359,205,625,160,119,Bronx Community District 5,BX 5,1011165.3212086005,251738.46931950003
30920,112,608,163,113,Manhattan Community District 12,MN 12,1006245.3212086005,254198.46931950003
27129,109,602,143,102,Manhattan Community District 9,MN 9,997225.3212086005,237798.46931950003
8613,315,598,45,108,Brooklyn Community District 15,BK 15,1002145.3212086005,157438.46931950003
26754,110,597,141,105,Manhattan Community District 10,MN 10,999685.3212086005,236158.46931950003
26377,110,588,139,106,Manhattan Community District 10,MN 10,1000505.3212086005,234518.46931950003
29792,205,586,157,119,Bronx Community District 5,BX 5,1011165.3212086005,249278.46931950003
30734,207,558,162,116,Bronx Community District 7,BX 7,1008705.3212086005,253378.46931950003
20893,402,557,110,103,Queens Community District 2,QN 2,998045.3212086005,210738.46931950003
20694,106,552,109,93,Manhattan Community District 6,MN 6,989845.3212086005,209918.46931950003
24107,108,535,127,104,Manhattan Community District 8,MN 8,998865.3212086005,224678.46931950003
20505,106,529,108,93,Manhattan Community District 6,MN 6,989845.3212086005,209098.46931950003
24483,111,526,129,102,Manhattan Community District 11,MN 11,997225.3212086005,226318.46931950003
30161,112,521,159,110,Manhattan Community District 12,MN 12,1003785.3212086005,250918.46931950003
20875,104,511,110,85,Manhattan Community District 4,MN 4,983285.3212086005,210738.46931950003
25805,110,511,136,101,Manhattan Community District 10,MN 10,996405.3212086005,232058.46931950003
18801,103,504,99,90,Manhattan Community District 3,MN 3,987385.3212086005,201718.46931950003
17486,301,501,92,98,Brooklyn Community District 1,BK 1,993945.3212086005,195978.46931950003
28835,112,485,152,107,Manhattan Community District 12,MN 12,1001325.3212086005,245178.46931950003
28644,112,484,151,105,Manhattan Community District 12,MN 12,999685.3212086005,244358.46931950003
29403,112,482,155,108,Manhattan Community District 12,MN 12,1002145.3212086005,247638.46931950003
28674,209,471,151,135,Bronx Community District 9,BX 9,1024285.3212086005,244358.46931950003
14655,308,469,77,102,Brooklyn Community District 8,BK 8,997225.3212086005,183678.46931950003
30358,205,469,160,118,Bronx Community District 5,BX 5,1010345.3212086005,251738.46931950003
22036,401,466,116,112,Queens Community District 1,QN 1,1005425.3212086005,215658.46931950003
30729,112,463,162,111,Manhattan Community District 12,MN 12,1004605.3212086005,253378.46931950003
24724,407,459,130,154,Queens Community District 7,QN 7,1039865.3212086005,227138.46931950003
12372,312,455,65,87,Brooklyn Community District 12,BK 12,984925.3212086005,173838.46931950003
20876,104,454,110,86,Manhattan Community District 4,MN 4,984105.3212086005,210738.46931950003
31305,208,454,165,120,Bronx Community District 8,BX 8,1011985.3212086005,255838.46931950003
23914,108,447,126,100,Manhattan Community District 8,MN 8,995585.3212086005,223858.46931950003
28267,112,444,149,106,Manhattan Community District 12,MN 12,1000505.3212086005,242718.46931950003
29782,112,443,157,109,Manhattan Community District 12,MN 12,1002965.3212086005,249278.46931950003
30171,205,436,159,120,Bronx Community District 5,BX 5,1011985.3212086005,250918.46931950003
25806,110,431,136,102,Manhattan Community District 10,MN 10,997225.3212086005,232058.46931950003
18611,103,429,98,89,Manhattan Community District 3,MN 3,986565.3212086005,200898.46931950003
14841,308,420,78,99,Brooklyn Community District 8,BK 8,994765.3212086005,184498.46931950003
27510,109,415,145,105,Manhattan Community District 9,MN 9,999685.3212086005,239438.46931950003
25235,107,414,133,98,Manhattan Community District 7,MN 7,993945.3212086005,229598.46931950003
22796,401,408,120,116,Queens Community District 1,QN 1,1008705.3212086005,218938.46931950003
20912,402,398,110,122,Queens Community District 2,QN 2,1013625.3212086005,210738.46931950003
20687,104,392,109,86,Manhattan Community District 4,MN 4,984105.3212086005,209918.46931950003
23160,108,391,122,102,Manhattan Community District 8,MN 8,997225.3212086005,220578.46931950003
30919,112,387,163,112,Manhattan Community District 12,MN 12,1005425.3212086005,254198.46931950003
29414,205,384,155,119,Bronx Community District 5,BX 5,1011165.3212086005,247638.46931950003
28456,112,381,150,106,Manhattan Community District 12,MN 12,1000505.3212086005,243538.46931950003
19747,103,379,104,91,Manhattan Community District 3,MN 3,988205.3212086005,205818.46931950003
19553,102,378,103,86,Manhattan Community District 2,MN 2,984105.3212086005,204998.46931950003
20686,104,374,109,85,Manhattan Community District 4,MN 4,983285.3212086005,209918.46931950003
25431,111,373,134,105,Manhattan Community District 11,MN 11,999685.3212086005,230418.46931950003
20696,106,371,109,95,Manhattan Community District 6,MN 6,991485.3212086005,209918.46931950003
23530,107,371,124,94,Manhattan Community District 7,MN 7,990665.3212086005,222218.46931950003
27896,204,361,147,113,Bronx Community District 4,BX 4,1006245.3212086005,241078.46931950003
13707,309,359,72,99,Brooklyn Community District 9,BK 9,994765.3212086005,179578.46931950003
28645,112,359,151,106,Manhattan Community District 12,MN 12,1000505.3212086005,244358.46931950003
25617,110,357,135,102,Manhattan Community District 10,MN 10,997225.3212086005,231238.46931950003
29214,112,357,154,108,Manhattan Community District 12,MN 12,1002145.3212086005,246818.46931950003
29602,205,357,156,118,Bronx Community District 5,BX 5,1010345.3212086005,248458.46931950003
18990,103,356,100,90,Manhattan Community District 3,MN 3,987385.3212086005,202538.46931950003
12531,501,351,66,57,Staten Island Community District 1,SI 1,960325.3212086005,174658.46931950003
30551,205,351,161,122,Bronx Community District 5,BX 5,1013625.3212086005,252558.46931950003
27887,109,348,147,104,Manhattan Community District 9,MN 9,998865.3212086005,241078.46931950003
20688,104,341,109,87,Manhattan Community District 4,MN 4,984925.3212086005,209918.46931950003
18993,103,340,100,93,Manhattan Community District 3,MN 3,989845.3212086005,202538.46931950003
19617,408,339,103,150,Queens Community District 8,QN 8,1036585.3212086005,204998.46931950003
27512,110,338,145,107,Manhattan Community District 10,MN 10,1001325.3212086005,239438.46931950003
25043,107,337,132,95,Manhattan Community District 7,MN 7,991485.3212086005,228778.46931950003
27522,203,337,145,117,Bronx Community District 3,BX 3,1009525.3212086005,239438.46931950003
29986,206,337,158,124,Bronx Community District 6,BX 6,1015265.3212086005,250098.46931950003
29604,206,336,156,120,Bronx Community District 6,BX 6,1011985.3212086005,248458.46931950003
